,ID,filename,Canonical SMILES,PubChem ID
56,Mol_065,Mol_065.xyz,FS(=O)(=O)c1c([H])c([H])c(C([H])([H])[C@@]([H])(C(=O)O[H])N([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],167732564
57,Mol_066,Mol_066.xyz,FS(=O)(=O)c1nnc(N2C([H])([H])C([H])([H])C([H])(C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C2([H])[H])c([H])c1[H],167950903
58,Mol_067,Mol_067.xyz,FS(=O)(=O)c1nnc(N([H])C([H])([H])C([H])([H])c2sc(C([H])([H])[H])nc2C([H])([H])[H])c([H])c1[H],167750961
59,Mol_068,Mol_068.xyz,FS(=O)(=O)c1nnc(N([H])C([H])(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C2([H])C([H])([H])C2([H])[H])c([H])c1[H],167843891
60,Mol_069,Mol_069.xyz,FS(=O)(=O)c1nc([H])c([H])c(Br)c1N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],167752964
61,Mol_070,Mol_070.xyz,FS(=O)(=O)c1nc([H])c([H])c(Br)c1N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],167989301
62,Mol_071,Mol_071.xyz,FS(=O)(=O)c1nc(N([H])C2([H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c([H])c1[H],167966368
63,Mol_072,Mol_072.xyz,FS(=O)(=O)c1c([H])nc([H])c([H])c1N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],167914592
64,Mol_073,Mol_073.xyz,FS(=O)(=O)c1nc(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c([H])c1[H],167783993
65,Mol_074,Mol_074.xyz,FS(=O)(=O)c1c([H])c([H])c(OC([H])([H])[H])c(C(=O)N2C([H])([H])[C@@]([H])(C([H])([H])[H])[C@]([H])(C([H])([H])C(=O)O[H])C2([H])[H])c1[H],167958670
66,Mol_075,Mol_075.xyz,FS(=O)(=O)c1c([H])c([H])c(C(=O)OC([H])([H])c2c([H])c([H])c(C([H])([H])[H])c([N+](=O)[O-])c2[H])c([H])c1Cl,167962329
67,Mol_076,Mol_076.xyz,FS(=O)(=O)c1c([H])c([H])c(C([H])([H])S(=O)(=O)C2([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],167748529
68,Mol_077,Mol_077.xyz,FS(=O)(=O)c1c([H])c([H])c([H])c(S(=O)(=O)N([H])c2c([H])c(Br)c(C([H])([H])[H])c(C(=O)O[H])c2[H])c1[H],167823245
69,Mol_078,Mol_078.xyz,FS(=O)(=O)c1c([H])c([H])c(S(=O)(=O)N([H])c2c([H])c(Br)c(C([H])([H])[H])c(C(=O)O[H])c2[H])c([H])c1[H],167814893
70,Mol_079,Mol_079.xyz,FS(=O)(=O)c1c([H])nc(N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c(Cl)c1[H],167779808
71,Mol_080,Mol_080.xyz,FS(=O)(=O)c1c([H])nc(N2C([H])([H])C([H])([H])[C@]([H])(O[H])C2([H])[H])c(Cl)c1[H],167939382
72,Mol_081,Mol_081.xyz,FS(=O)(=O)c1c([H])nc(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c(Cl)c1[H],167947837
73,Mol_082,Mol_082.xyz,FS(=O)(=O)c1c([H])nc(N([H])C2([H])C([H])([H])OC([H])([H])C2([H])[H])c(Cl)c1[H],167956325
74,Mol_083,Mol_083.xyz,FS(=O)(=O)c1c([H])c([H])c(C(=O)N([H])[C@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C(=O)O[H])C2([H])[H])c([H])c1Cl,167879757
75,Mol_084,Mol_084.xyz,FS(=O)(=O)c1sc2c(Br)c([H])c([H])c([H])c2c1C([H])([H])[H],165983412
76,Mol_085,Mol_085.xyz,FS(=O)(=O)c1c([H])c([H])c([H])c(S(=O)(=O)N([H])c2c([H])c([H])c([H])c([H])c2-c2nc3c([H])c([H])c([H])c([H])c3n2[H])c1[H],167747734
77,Mol_086,Mol_086.xyz,FS(=O)(=O)c1c([H])c([H])c(N([H])C(=O)C([H])([H])c2c(C([H])([H])[H])nn(C([H])([H])C3([H])C([H])([H])C3([H])[H])c2C([H])([H])[H])c([H])c1[H],167854924
78,Mol_087,Mol_087.xyz,FS(=O)(=O)c1c([H])c([H])c([H])c(S(=O)(=O)N([H])N([H])C(=O)c2c([H])c([H])c([H])c([H])c2[H])c1[H],167882948
79,Mol_088,Mol_088.xyz,FS(=O)(=O)c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])c2nc(-c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])no2)c([H])c1[H],167940649
80,Mol_089,Mol_089.xyz,FS(=O)(=O)c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])Oc2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],167982796
81,Mol_090,Mol_090.xyz,FS(=O)(=O)c1c([H])c([H])c([H])c(N([H])C(=O)C([H])([H])N2C(=O)N([H])C(c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])(C([H])([H])[H])C2=O)c1[H],167884897
82,Mol_091,Mol_091.xyz,FS(=O)(=O)c1c([H])c([H])c([H])c(N([H])C(=O)c2sc([H])c([H])c2S(=O)(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c1[H],167938938
83,Mol_092,Mol_092.xyz,FS(=O)(=O)c1c([H])c([H])c([H])c(N([H])C(=O)C([H])([H])Oc2c([H])c([H])c([H])c(N([H])C(=O)c3oc([H])c([H])c3[H])c2[H])c1[H],167771590
84,Mol_093,Mol_093.xyz,FS(=O)(=O)c1c([H])c([H])c([H])c(N([H])S(=O)(=O)c2c([H])c([H])c(C([H])([H])[H])c(OC([H])([H])C(=O)O[H])c2C([H])([H])[H])c1[H],167800373
85,Mol_094,Mol_094.xyz,FS(=O)(=O)c1c([H])nc([H])c(N2C([H])([H])C([H])([H])N(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C2([H])[H])c1[H],167717399
86,Mol_095,Mol_095.xyz,FS(=O)(=O)c1c([H])c(Cl)c(N([H])[H])c([H])c1OC([H])([H])[H],167715393
87,Mol_096,Mol_096.xyz,FS(=O)(=O)c1c([H])c([H])c(-c2c([H])nc([H])c([H])c2[H])c([H])c1[H],167924879
88,Mol_097,Mol_097.xyz,[H]Cl.[H]c1c([H])c([H])c(S(=O)(=O)F)c(-c2c([H])c([H])c([H])c(C([H])([H])N([H])C3([H])C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c2[H])c1[H],167986568
